exchangeIDs	exchangeMets	exp_HS_578T	HS_578T	exp_RPMI_8226	RPMI_8226	exp_HT29	HT29	exp_MALME_3M	MALME_3M	exp_SR	SR	exp_UO_31	UO_31	exp_MDMAMB_231	MDMAMB_231	exp_HOP62	HOP62	exp_NCI_H226	NCI_H226	exp_HOP92	HOP92	exp_O_786	O_786
HMR_10024	biomass	0.035730055	0.00769859749658353	0.018333143	0.0309945809831753	0.031111255	0.0360624764529098	0.020798529	0.0212268621486042	0.019171008	0.00770555657194109	0.013033577	0.0210051185341014	0.010926773	0.0139305039724642	0.011473383	0.0187240957792516	0.018027769	0.00757228177195807	0.02270517	0.0140984505607753	0.025987054	0.00280206142674378
HMR_9034	glucose	-0.891204517	-0.891204517	-0.437346135	-0.437346135	-0.826120427	-0.826120427	-0.848562996	-0.848562996	-0.898948663	-0.898948663	-0.549041759	-0.549041759	-0.479477546	-0.479477546	-0.26705905	-0.26705905	-0.398649261	-0.398649261	-0.594208072	-0.594208072	-0.864113881	-0.864113881
HMR_9039	isoleucine	-0.013615722	-0.00185420104817415	-0.005558778	-0.00746502003413299	-0.008957816	-0.00868561860370217	-0.01142058	-0.0051124727670016	-0.004599992	-0.00185587713590675	-0.00973818	-0.0050590659948435	-0.005568708	-0.00335515073736484	-0.003331967	-0.00450968348915613	-0.007996597	-0.00182377800695069	-0.007304317	-0.00339560053880229	-0.00889841	-0.000674874252982098
HMR_9040	leucine	-0.01834798	-0.00378138133624703	-0.007998895	-0.015223854748425	-0.016259326	-0.0177130932560635	-0.012571768	-0.010426166635084	-0.00879963	-0.00378479948061505	-0.009163894	-0.0103172510610869	-0.006592535	-0.00684235638366185	-0.004904579	-0.00919686298045647	-0.009283825	-0.00371933783757273	-0.00911516	-0.00692484804461798	-0.010361673	-0.00137631078736208
HMR_9041	lysine	-0.022543147	-0.00296557520193944	-0.009620991	-0.0119394163416128	-0.017307958	-0.0138916193419301	-0.009254128	-0.00817679532289139	-0.015465749	-0.00296825590596611	-0.005490858	-0.00809137750949751	-0.006015855	-0.00536616664913215	-0.006186391	-0.00721270519030637	-0.009191799	-0.00291691714691962	-0.013165857	-0.00543086132082615	-0.012443708	-0.00107938152178369
HMR_9042	methionine	-0.006100296	-0.000927910801473588	-0.002496251	-0.00373577219671498	-0.004789793	-0.00433764695834685	-0.003363566	-0.00255847051074194	-0.004351409	-0.000928749577782574	-0.001823891	-0.0025265261147036	-0.001426579	-0.00167904155422552	-0.001965335	-0.00225681245565883	-0.00289763	-0.000912685986131841	-0.002318728	-0.00169928413132267	-0.003263032	-0.000337732043456214
HMR_9043	phenylalanine	-0.006567123	-0.00156836482581187	-0.002744675	-0.00631424238328631	-0.005369239	-0.00734667835609177	-0.003162452	-0.00432435439974647	-0.004906518	-0.00156978253455893	-0.002358298	-0.0042791806021179	-0.00220937	-0.00283793411019879	-0.002257474	-0.00381448870763056	-0.003408873	-0.00154263167902281	-0.003510565	-0.00287214833192413	-0.00339599	-0.000570838335608455
HMR_9044	threonine	-0.013603744	-0.00234844877215163	-0.006411995	-0.00945486313391427	-0.011510289	-0.0110097770403177	-0.009353784	-0.00738337544707669	-0.009821513	-0.00235057163050161	-0.005220614	-0.00641280617729851	-0.004979441	-0.00424948504764735	-0.005240142	-0.00571176500160543	-0.007183311	-0.00230991629808324	-0.008527731	-0.00430071697129075	-0.008802744	-0.000983117121777117
HMR_9045	tryptophan	-0.001211726	-0.000406416660442141	-0.000695832	-0.00163623492468281	-0.00138647	-0.00190377419442556	-0.000865457	-0.00112058727968696	-0.00133912	-0.000406784036989342	-0.000421306	-0.00110888121253375	-0.00035138	-0.00073540523521036	-0.000467773	-0.000988463740282473	-0.000944004	-0.000399748327023439	-0.000954767	-0.00074427130355389	-0.000725178	-0.000147923624779231
HMR_9046	valine	-0.01330341	-0.00277354331063404	-0.006165194	-0.0111662952622137	-0.011472903	-0.0129920859449078	-0.008788208	-0.00764731778017214	-0.010175864	-0.00277605042922476	-0.005794702	-0.00756743108406251	-0.004841612	-0.005018687640669	-0.005347229	-0.00674565602621266	-0.007691297	-0.00272803604347034	-0.009105286	-0.00507919309465081	-0.010005055	-0.00100948760207035
HMR_9061	alanine	0.056209087	-0.00344179004179473	0.014127935	1.47862378914896	0.055245815	1.08618558073986	0.022787714	-0.00948983276421935	0.086767953	-0.00344490121578147	0.025716586	0.488471370070029	0.018852115	-0.00622787070903327	0.009601013	0.887449885520746	0.012695001	-0.00338782637050912	0.032353203	-0.00630295411162173	0.0076389	-0.00125270961617927
HMR_9062	asparagine	-0.00571363	-0.00154538913144306	-0.002018538	-0.00622174215580013	-0.002396685	-0.00723905350136571	-0.004913882	-0.00426100495235018	-0.001222105	-0.00154678607152562	0.000345758	-0.00421649292636473	-0.001988739	-0.00279635991414337	-0.001628876	-0.00375860851618696	-0.001922615	-0.00152003296130257	-0.002382279	-0.00283007291607055	-0.002440472	-0.000562475863486481
HMR_9063	glutamine	-0.226698917	-0.69774918408758	-0.146252447	-0.00941985290592901	-0.228850691	-0.0109600844029587	-0.122203241	-0.00733579659665166	-0.219496506	-0.698120904545029	-0.124230534	-0.00638386197155706	-0.078432974	-0.00423374971248375	-0.091938612	-0.0056906150185679	-0.094750789	-0.685985231170604	-0.123594044	-0.00428479193043797	-0.109775824	-0.253960032998401
HMR_9064	tyrosine	-0.007986935	-0.0011750835124184	-0.003674763	-0.004730890412677	-0.008123502	-0.00550443395899016	-0.004482545	-0.00323998439225746	-0.006833216	-0.00117614571819263	-0.002693864	-0.00320613832282703	-0.003180849	-0.00212629710086625	-0.00311885	-0.00285797201956664	-0.004976546	-0.00115580317915868	-0.004926558	-0.00215193180471703	-0.003969672	-0.000427695588035535
HMR_9066	arginine	-0.027206388	-0.00210945613170074	-0.006832754	-0.0084926779109402	-0.011382525	-0.00988130787609867	-0.00129978	-0.00581627166974383	-0.005431378	-0.00211136295488386	-0.006102876	-0.0057555127552161	-0.007139201	-0.00381703122360106	-0.001574063	-0.00513050054501779	-0.00338457	-0.00207484495999582	-0.012814136	-0.00386304947051788	-0.009856139	-0.000767779541750286
