cell_Line	pearson	MAE	RMSE
HS_578T	0.0182944345238331	19658.2515003128	176.869793900372
RPMI_8226	0.0208768119320008	111360.708879135	177.961997362851
HT29	0.01738986787758	302808.991478371	177.762501892513
MALME_3M	0.00981335140034364	74714.7466984312	177.747587280346
SR	0.0117812130392818	86728.1631846338	176.942915160479
UO_31	0.0141290409266628	81676.6498337257	176.927650485969
MDAMB_231	0.0255054204640408	1419955.73038375	155.594974445511
HOP62	0.0126510698016687	223029.336315623	176.969634287734
NCI_H226	0.0176655985377609	91451.4992335666	177.485360627214
HOP92	0.0133163272495473	54057.3690923239	177.890151836504
O_786	0.0100258105197525	55577.1051264887	176.944712088948
