Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.594208072	-0.594208072
HMR_9039	isoleucine	-0.007304317	-0.00654833626290346
HMR_9040	leucine	-0.00911516	-0.0140715057558832
HMR_9041	lysine	-0.013165857	-0.0121006472689899
HMR_9042	methionine	-0.002318728	-0.00335034700814476
HMR_9043	phenylalanine	-0.003510565	-0.00614568775482849
HMR_9044	threonine	-0.008527731	-0.008527731
HMR_9045	tryptophan	-0.000954767	-0.00152582592533673
HMR_9046	valine	-0.009105286	-0.0099814445949111
HMR_9061	alanine	0.032353203	-0.0198569290561183
HMR_9062	asparagine	-0.002382279	-0.00847681069631516
HMR_9063	glutamine	-0.123594044	-0.034359339355731
HMR_9064	tyrosine	-0.004926558	-0.0040264850807497
HMR_9066	arginine	-0.012814136	-0.0107443575575795
HMR_9067	glycine	-0.00039991	-0.0341403550794092
HMR_9068	proline	0.002435376	-0.0180767988098921
HMR_9069	serine	-0.022222852	-2.09963938945728
HMR_9070	aspartate	-0.000494245	0
HMR_9071	glutamate	0.015988165	-1.02948539370764
HMR_9083	choline	-0.00136736	-0.000786849356872084
HMR_9087	ornithine	0.009506915	0
HMR_9133	pyruvate	1.04932e-07	0
HMR_9135	L-lactate	0.687740829	3.99428254711842
HMR_9146	folate	-1.39812e-05	-0.0093470584139993
HMR_9259	AKG	8.67453e-06	0
HMR_9292	L-carnitine	-2.58419e-05	0
humanGrowthOut	biomass	0.02270517	0.0353200445679798
