Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.826120427	-0.0769334342226841
HMR_9039	isoleucine	-0.008957816	-0.0109850937258679
HMR_9040	leucine	-0.016259326	-0.0207885633102302
HMR_9041	lysine	-0.017307958	-0.0156680033885979
HMR_9042	methionine	-0.004789793	-0.00503301490640262
HMR_9043	phenylalanine	-0.005369239	-0.00794341210083474
HMR_9044	threonine	-0.011510289	-0.011510289
HMR_9045	tryptophan	-0.00138647	-0.00210073985112337
HMR_9046	valine	-0.011472903	-0.0147489250876032
HMR_9061	alanine	0.055245815	0.325403982765709
HMR_9062	asparagine	-0.002396685	-0.00816223579149273
HMR_9063	glutamine	-0.228850691	-0.0237123625036324
HMR_9064	tyrosine	-0.008123502	-0.00599585468426428
HMR_9066	arginine	-0.011382525	-0.0116197070800995
HMR_9067	glycine	0.003908824	-0.00924959122887146
HMR_9068	proline	0.005380916	-0.46282837850103
HMR_9069	serine	-0.033339735	-0.0283410293743439
HMR_9070	aspartate	-0.004150227	0
HMR_9071	glutamate	0.042193442	0.0534847217675196
HMR_9083	choline	-0.000966912	-0.00228583166828525
HMR_9087	ornithine	0.003060358	0
HMR_9133	pyruvate	1.15384e-07	0
HMR_9135	L-lactate	1.166895089	0
HMR_9146	folate	-2.33989e-06	0
HMR_9259	AKG	1.33479e-05	0
HMR_9292	L-carnitine	-2.45652e-05	0
humanGrowthOut	biomass	0.031111255	0.0464599932578304
