Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.479477546	-0.479477546
HMR_9039	isoleucine	-0.005568708	-4.29147824202025
HMR_9040	leucine	-0.006592535	-8.12132336637297
HMR_9041	lysine	-0.006015855	-38.4956826045576
HMR_9042	methionine	-0.001426579	-1.96621513080609
HMR_9043	phenylalanine	-0.00220937	-3.10320040209831
HMR_9044	threonine	-0.004979441	-597.439823520476
HMR_9045	tryptophan	-0.00035138	-0.820681098075585
HMR_9046	valine	-0.004841612	-5.76186520940567
HMR_9061	alanine	0.018852115	-6.65093639898755
HMR_9062	asparagine	-0.001988739	-3.18868801648118
HMR_9063	glutamine	-0.078432974	-9.26355405604265
HMR_9064	tyrosine	-0.003180849	-2.34236063409073
HMR_9066	arginine	-0.007139201	-181.374885298376
HMR_9067	glycine	0.006385996	329.232127139427
HMR_9068	proline	0.001436971	-4.26583195770538
HMR_9069	serine	-0.016568732	-352.743716893551
HMR_9070	aspartate	-0.00113204	0
HMR_9071	glutamate	0.00917449	0.598413300680114
HMR_9083	choline	-0.000990661	-0.89299164068734
HMR_9087	ornithine	0.001948405	0
HMR_9133	pyruvate	5.8547e-08	0
HMR_9135	L-lactate	0.743240244	0
HMR_9146	folate	8.4277e-07	0
HMR_9259	AKG	4.47547e-06	170.248798920834
HMR_9292	L-carnitine	-5.56215e-06	0
humanGrowthOut	biomass	0.010926773	18.1502365993362
