Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.398649261	-0.398649261
HMR_9039	isoleucine	-0.007996597	-0.00610381314663874
HMR_9040	leucine	-0.009283825	-0.0131162845610619
HMR_9041	lysine	-0.009191799	-0.0112792145848891
HMR_9042	methionine	-0.00289763	-0.00308153673422539
HMR_9043	phenylalanine	-0.003408873	-0.00572849777516258
HMR_9044	threonine	-0.007183311	-0.00799021734072008
HMR_9045	tryptophan	-0.000944004	-0.00142224772348864
HMR_9046	valine	-0.007691297	-0.00930387052448818
HMR_9061	alanine	0.012695001	-0.0185089738459563
HMR_9062	asparagine	-0.001922615	-0.00790137624160355
HMR_9063	glutamine	-0.094750789	-0.0320269116993009
HMR_9064	tyrosine	-0.004976546	-0.00375315371476169
HMR_9066	arginine	-0.00338457	-0.0100149943862325
HMR_9067	glycine	0.000604886	-0.0318227928130577
HMR_9068	proline	0.002203858	-0.0168496848352195
HMR_9069	serine	-0.021499214	-0.76874656581394
HMR_9070	aspartate	0.002611711	-0.0112053126193926
HMR_9071	glutamate	0.01664521	-1.06636564283664
HMR_9083	choline	-0.001591875	-0.000733435372906548
HMR_9087	ornithine	-0.001200326	0
HMR_9133	pyruvate	4.95238e-08	0
HMR_9135	L-lactate	0.552731028	2.34234290803206
HMR_9146	folate	-6.9796e-06	0
HMR_9259	AKG	2.80183e-06	0
HMR_9292	L-carnitine	-1.20017e-05	0
humanGrowthOut	biomass	0.018027769	0.0329224010066815
