Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.437346135	-2.91973858739
HMR_9039	isoleucine	-0.005558778	-0.0113705668366982
HMR_9040	leucine	-0.007998895	-0.0244338394160764
HMR_9041	lysine	-0.009620991	-0.0210116299797886
HMR_9042	methionine	-0.002496251	-0.00574048034474084
HMR_9043	phenylalanine	-0.002744675	-0.0106714057690695
HMR_9044	threonine	-0.006411995	-0.0148846791554283
HMR_9045	tryptophan	-0.000695832	-0.00264945246680346
HMR_9046	valine	-0.006165194	-0.017331834887006
HMR_9061	alanine	0.014127935	-0.0344796800193729
HMR_9062	asparagine	-0.002018538	-0.0147191803711304
HMR_9063	glutamine	-0.146252447	-0.0627282403482957
HMR_9064	tyrosine	-0.003674763	-0.00699161067628692
HMR_9066	arginine	-0.006832754	-0.0186565611204077
HMR_9067	glycine	-0.000306523	-0.0592814989447299
HMR_9068	proline	-0.000675569	-0.0313886521414355
HMR_9069	serine	-0.016314407	-0.0403994767789801
HMR_9070	aspartate	-0.000782986	0
HMR_9071	glutamate	0.056588804	-0.0083408688769739
HMR_9083	choline	-0.000545279	-0.00136628951897471
HMR_9087	ornithine	0.000643202	0
HMR_9133	pyruvate	6.63736e-08	0
HMR_9135	L-lactate	0.679121284	5.3208539932057
HMR_9146	folate	-5.72834e-06	0
HMR_9259	AKG	1.03044e-05	0.00919948773195162
HMR_9292	L-carnitine	-2.09273e-05	0
humanGrowthOut	biomass	0.018333143	0.0613299182130431
