Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.898948663	-2.93177586445686
HMR_9039	isoleucine	-0.004599992	-0.0116133356664173
HMR_9040	leucine	-0.00879963	-0.0249555174190973
HMR_9041	lysine	-0.015465749	-0.0214602416360008
HMR_9042	methionine	-0.004351409	-0.00586304324906503
HMR_9043	phenylalanine	-0.004906518	-0.0108992470655696
HMR_9044	threonine	-0.009821513	-0.0152024765169146
HMR_9045	tryptophan	-0.00133912	-0.00270601996110694
HMR_9046	valine	-0.010175864	-0.0177018805789079
HMR_9061	alanine	0.086767953	-0.0352158431049611
HMR_9062	asparagine	-0.001222105	-0.0150334442283719
HMR_9063	glutamine	-0.219496506	-0.0609355606056677
HMR_9064	tyrosine	-0.006833216	-0.00714088600847664
HMR_9066	arginine	-0.005431378	-0.0190548905594613
HMR_9067	glycine	0.008171299	-0.0898624128750935
HMR_9068	proline	0.00710491	-0.032058819817003
HMR_9069	serine	-0.031649758	-0.0233157632817
HMR_9070	aspartate	-0.012462967	-0.0240585160634564
HMR_9071	glutamate	0.011390914	-0.0169076194588577
HMR_9083	choline	-0.000844902	-0.00139546066869333
HMR_9087	ornithine	-0.001427155	0
HMR_9133	pyruvate	1.5187e-07	0
HMR_9135	L-lactate	1.118142634	5.36927807175156
HMR_9146	folate	8.51269e-06	-0.014657608122663
HMR_9259	AKG	1.0472e-05	0
HMR_9292	L-carnitine	-4.71519e-05	0
humanGrowthOut	biomass	0.019171008	0.0626393509515494
