		Experimental data																					
Rxn ID 	metabolite	HT29	HT29_SD	HOP-62	HOP-62_SD	786-O	786-O_SD	MALME-3M	MALME-3M_SD	UO-31	UO-31_SD	HS 578T	HS 578T_SD	HOP-92	HOP-92_SD	NCI-H226	NCI-H226_SD	MDA-MB-231/ATCC	MDA-MB-231/ATCC_SD	RPMI 8226	RPMI 8226_SD	SR	SR_SD
'HMR_9135'	'L-lactate'	566,2569898	0,009786945	469,9977442	0,024883523	468,075685	0	379,0048068	0,105625909	360,167096	0,024037624	927,7074616	0,022748744	1151,631397	0,009523324	290,6544655	0,158110833	214,0887433	0	704,5733503	0,102851895	309,0110938	0,03783849
'HMR_9087'	'ornithine'	3,207445019	0,171409965	0,445138948	0,371305186	1,2275989	0,129255435	-0,939946496	0,196027537	-0,459703658	0,047809673	1,762439146	0,035995004	3,019003476	0,012913503	1,49742374	0,041682296	-0,464920905	0,163641177	9,739597156	0,032871868	4,989844723	0,035634495
'HMR_9133'	'pyruvate'	0,000102058	0,002304595	4,59348E-05	0,020572923	4,62842E-05	0,027444398	0,000116831	0,006267667	4,89195E-05	0,009170002	6,77652E-05	0,009745592	9,07167E-05	0,011324175	2,82079E-05	0,006240897	1,91815E-05	0,020224927	0,0001075	0,015779757	1,79135E-05	0,005870276
'HMR_9067'	glycine'	-0,326306946	0,024438401	-0,212134369	0,869939837	1,567943421	0,11974979	6,53068005	0,135452675	2,632073086	0,133386723	5,238935907	0,131146979	9,894933976	0,07382562	2,690858795	0,150609319	0,234289963	0,433284173	-0,409697716	0,737287475	0,798320625	0,698444687
'HMR_9061'	alanine'	22,86212612	0,002948129	9,777484392	0,014308781	22,16070887	0,039046254	9,265758485	0,061141576	27,94899376	0,006941196	31,08107198	0,03520108	29,21086181	0,018941776	8,787787514	0,046071579	4,917141625	0,054754638	33,1450504	0,032006841	2,377223624	0,038455332
'humanGrowthOut'	'biomass'																						
'HMR_9259'	'AKG'	0,00914463	0,283722652	0,007131353	0,058585315	0,005354213	0,302403535	0,00794196	0,129786574	0,003373154	0,146426356	0,007665495	0,044216866	0,006934619	0,573117023	0,007969714	0,045174803	0,001085228	0,792646513	0,008886828	0,07452539	0,003851964	0,158067849
'HMR_9292'	'L-carnitine'	-0,004841378	0,323743548	-0,014483117	0,024738015	-0,009853825	0,003117131	-0,007444733	0,024880068	-0,015188227	0,026535596	0,001416671	1,293123363	-0,008618367	0,105020125	-0,020079944	0,03683287	-0,004648601	0,133989797	-0,026474433	0,028348859	0,00307806	0,091617056
'HMR_9083'	'choline'	-0,831474777	0,083252621	-0,37736988	0,09321487	-0,387856672	0,048327551	-0,788277196	0,041268041	-0,272153021	0,104823471	-0,301400007	0,044977366	-1,535002918	0,102854719	-0,41306694	0,022272516	-0,616579212	0,016635816	-1,400825857	0,026966767	-0,177932352	0,043007033
'HMR_9045'	'tryptophan'	-0,492849756	0,31657029	-0,48156291	0,161144077	-0,556153397	0,076872108	-0,351905223	0,077257054	-0,431346557	0,021948398	-0,509190524	0,13884653	-0,544453745	0,043444672	-0,428151327	0,023477593	-0,365639988	0,071599709	-0,978134753	0,141619817	-0,225675147	0,146053121
'HMR_9042'	methionine'	-2,481195382	0,042738037	-1,727573865	0,081288571	-1,921325842	0,069081188	-1,367666076	0,072473519	-1,401640728	0,025702754	-2,204354452	0,005977121	-2,210447645	0,09534318	-1,79886689	0,10883584	-1,122336211	0,098742965	-2,375478894	0,089996487	-1,015454611	0,030253901
'HMR_9034'	'glucose'	-362,4828481	0,018346554	-302,6730341	0,009015933	-331,3810159	0,005892557	-345,0359113	0,12891646	-289,5621015	0,001993254	-663,5719859	0,011661431	-742,9379651	0,001476215	-244,4386002	0,355120097	-154,4084064	0,001514147	-608,7513747	0,129755285	-268,9119953	0,050002939
'HMR_9039'	isoleucine'	-5,537972	0,074586158	-3,847049125	0,036410688	-3,593241604	0,083117531	-4,643745021	0,237046684	-1,481712251	0,399426278	-11,76956641	0,005715403	-8,628568058	0,041671353	-3,049742808	0,022493165	-3,097313656	0,144122072	-7,483090454	0,172008821	-2,769182672	0,157767158
'HMR_9062'	asparagine'	-2,323925287	0,790310654	-1,39696412	0,368905197	-0,961380211	0,126353607	-1,998043591	0,092160323	-0,393654627	0,670190541	0,41788346	3,104238115	-3,081499957	0,085898948	-1,490906391	0,480702748	-0,744684404	0,571535494	-2,440585471	0,198239579	-0,759474224	0,114298059
'HMR_9046'	valine'	-5,410944185	0,009459107	-4,266729884	0,00655969	-4,602116161	0,020317048	-3,57339099	0,028945261	-3,277767277	0,044375085	-7,003477806	0,056947008	-7,501951049	0,081696239	-4,894307878	0,022661307	-2,979061885	0,079708076	-9,328139079	0,050665927	-3,113570058	0,010775217
'HMR_9066'	arginine'	-11,06575305	0,294834984	-4,728727021	0,09423361	-4,56586298	0,138348452	-0,528505853	0,581003214	-1,749511771	0,46492537	-7,375937371	0,122889339	-11,06200571	0,504730687	-1,440737027	1,59769716	-1,310942197	0,594938414	-13,12776277	0,147442147	-3,067227548	0,134702562
'HMR_9040'	leucine'	-7,462740531	0,046560552	-5,535774664	0,149984535	-6,522090427	0,112263492	-5,111831866	0,119091195	-2,834465669	0,044086044	-11,07548372	0,041163368	-10,21496097	0,016052068	-4,489150923	0,039267854	-3,595894346	0,190098114	-9,338253872	0,078820306	-3,224549849	0,29338954
'HMR_9146'	folate'	0,017303056	0,453736006	-0,003964447	2,504605757	-0,00093857	1,573334016	0,004065354	1,147579946	0,002742037	2,895767874	-0,01134961	0,528508354	0,00130585	24,34430249	-0,002888821	0,304293348	-0,00270341	1,653481738	-0,014323419	0,736016521	-0,00434799	0,926777264
